agency_group,year,av,assess_year_av,av_true,rate_smooth,agency_name,agency_num,total_final_levy,major_type,minor_type,cty_total_eav,triad_name,agency_count,reassess_year,home_rule_ind,flag_drop,bundled,uniqueid,first2_dig,type
Acorn Public Library District,2006,207071861.05776334,NA,NA,NA,ACORN PUBLIC LIBRARY DISTRICT,060010000,860897,MISCELLANEOUS,LIBRARY,560667771,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2007,208564054.29164174,NA,NA,NA,ACORN PUBLIC LIBRARY DISTRICT,060010000,890440,MISCELLANEOUS,LIBRARY,593135314,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2008,217761904.25031894,217761904.25031894,217761904.25031894,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,935833,MISCELLANEOUS,LIBRARY,648625608,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2009,197788750.18545446,217761904.25031894,211636835.23937663,-0.02812736705269392,ACORN PUBLIC LIBRARY DISTRICT,060010000,942940,MISCELLANEOUS,LIBRARY,666567867,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2010,206998182.72727275,217761904.25031894,208639212.6132959,-0.041892964099617847,ACORN PUBLIC LIBRARY DISTRICT,060010000,972689,MISCELLANEOUS,LIBRARY,683094003,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2011,199898697.56951457,199898697.56951457,199898697.56951457,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,994901,MISCELLANEOUS,LIBRARY,593819071,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2012,191417329.27003136,199898697.56951457,188955649.4456767,-0.05474296859804417,ACORN PUBLIC LIBRARY DISTRICT,060010000,1040086,MISCELLANEOUS,LIBRARY,537040459,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2013,187240529.2813944,199898697.56951457,183710863.87986925,-0.08098018589648903,ACORN PUBLIC LIBRARY DISTRICT,060010000,1049465,MISCELLANEOUS,LIBRARY,498453013,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2014,168833923.97167286,168833923.97167286,168833923.97167286,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1071591,MISCELLANEOUS,LIBRARY,460123093,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2015,167280894.88476673,168833923.97167286,170723619.28698894,0.011192628062314913,ACORN PUBLIC LIBRARY DISTRICT,060010000,1084809,MISCELLANEOUS,LIBRARY,446389068,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2016,165123342.96518266,168833923.97167286,171676383.7069939,0.016835832920627736,ACORN PUBLIC LIBRARY DISTRICT,060010000,1095921,MISCELLANEOUS,LIBRARY,462873755,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2017,174566698.61950248,174566698.61950248,174566698.61950248,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1122341,MISCELLANEOUS,LIBRARY,517188758,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
