year,agency_group,agency_name,agency_num,total_final_levy,major_type,minor_type,cty_total_eav,av,triad_name,agency_count,reassess_year,home_rule_ind,flag_drop,bundled,uniqueid,first2_dig,type,assess_year_av,est_value,r
2006,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,860897,MISCELLANEOUS,LIBRARY,560667771,207071861.05776334,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,NA,NA,NA
2007,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,890440,MISCELLANEOUS,LIBRARY,593135314,208564054.29164174,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,NA,NA,NA
2008,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,935833,MISCELLANEOUS,LIBRARY,648625608,217761904.25031894,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,217761904.25031894,-0.02812736705269392
2009,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,942940,MISCELLANEOUS,LIBRARY,666567867,197788750.18545446,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,211636835.23937663,-0.02812736705269392
2010,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,972689,MISCELLANEOUS,LIBRARY,683094003,206998182.72727275,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,205684048.2927282,-0.02812736705269392
2011,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,994901,MISCELLANEOUS,LIBRARY,593819071,199898697.56951457,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,199898697.56951457,-0.05474296859804417
2012,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1040086,MISCELLANEOUS,LIBRARY,537040459,191417329.27003136,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,188955649.4456767,-0.05474296859804417
2013,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1049465,MISCELLANEOUS,LIBRARY,498453013,187240529.2813944,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,178611656.26164898,-0.05474296859804417
2014,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1071591,MISCELLANEOUS,LIBRARY,460123093,168833923.97167286,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,168833923.97167286,0.011192628062314913
2015,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1084809,MISCELLANEOUS,LIBRARY,446389068,167280894.88476673,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,170723619.28698894,0.011192628062314913
2016,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1095921,MISCELLANEOUS,LIBRARY,462873755,165123342.96518266,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,172634465.25912046,0.011192628062314913
2017,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1122341,MISCELLANEOUS,LIBRARY,517188758,174566698.61950248,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,174566698.61950248,0.01182634576316266
2018,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1147848,MISCELLANEOUS,LIBRARY,502422330,172600340.1009997,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,176631184.75611052,0.01182634576316266
2019,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1175891,MISCELLANEOUS,LIBRARY,497949023,170764411.17969823,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,178720086.21959335,0.01182634576316266
2020,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1224585,MISCELLANEOUS,LIBRARY,582899322,180833691.75404853,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,180833691.75404853,0.10386809898522409
2021,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1248609,MISCELLANEOUS,LIBRARY,531129872,176884094.98118362,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,199616543.54902154,0.10386809898522409
2022,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1334001,MISCELLANEOUS,LIBRARY,516879499,176789512.94592467,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,220350334.45345962,0.10386809898522409
2023,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1389795,MISCELLANEOUS,LIBRARY,733677889,243237704.8038988,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,243237704.8038988,243237704.8038988,0.10386809898522409
2006,Alsip,VILLAGE OF ALSIP,030010000,5740624,MUNICIPALITY/TOWNSHIP,MUNI,680364001,251279362.16575566,South,1,0,1,NA,0,Alsip_1_0,03,Muni,NA,NA,NA
2007,Alsip,VILLAGE OF ALSIP,030010000,6200201,MUNICIPALITY/TOWNSHIP,MUNI,710758298,249923801.11818278,South,1,0,1,NA,0,Alsip_1_0,03,Muni,NA,NA,NA
