year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year
2006,010010000,1,NA,NA,NA,NA,NA,1975574435,NA,NA,1,720483542,720483542,0.5,NA,720483542,0.5,NA,NA,NA,721723916,010010,COUNTY OF COOK,COOK COUNTY,COOK,NA,NA,NA,NA,NA,NA
2006,010010001,1,NA,NA,NA,NA,NA,1180552787,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,0,010010,CONSOLIDATED ELECTIONS,COOK COUNTY,COOK,NA,NA,NA,NA,NA,NA
2006,010020000,0,2005,67094198,NA,0.048,NA,1975574435,NA,NA,1,81799655,81799655,0.057,0,81799655,0.057,NA,NA,13793587.48,82276526.42,010020,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,NA,NA,NA,NA,NA,NA
2006,020010000,0,2005,336998,1252394203,0.027,1253529228,59060250,1311454453,1311454453,1,324450,324450,0.025,NA,324450,0.025,NA,NA,NA,327863.61,020010,TOWN BARRINGTON,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020010002,0,2005,25922,1252394203,0.003,1253529228,59060250,1311454453,1311454453,1,18540,18540,0.002,NA,18540,0.002,NA,NA,NA,26229.09,020010,GENERAL ASSISTANCE BARRINGTON,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020010003,0,NA,0,NA,0,1253529228,59060250,1311454453,1311454453,1,0,0,0,NA,0,0,NA,NA,NA,0,020010,ROAD AND BRIDGE BARRINGTON,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020020000,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,251613,251613,0.032,245231,245231,0.031,CLERK,0.970588,NA,248438.14,020020,TOWN BERWYN,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020020002,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,199555,199555,0.025,193942,193942,0.025,CLERK,0.970588,NA,200353.34,020020,GENERAL ASSISTANCE BERWYN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020020004,0,2003,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,413133,413133,0.052,401508,401508,0.051,CLERK,0.970588,NA,408720.81,020020,BERWYN TOWNSHIP COMMUNITY MENTAL HEALTH DISTRICT,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA
2006,020020005,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,494549,494549,0.062,480846,480846,0.06,CLERK,0.970588,NA,480848.01,020020,PUBLIC HEALTH BERWYN,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA
2006,020030000,0,2005,2414161,1262823277,0.192,1255258088,28837956,1291661233,1291661233,1,1804780,1804780,0.14,1795409,1795409,0.139,CLERK,0.9948180000000001,NA,1795409.11,020030,TOWN BLOOM,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020030002,0,2005,2414161,1262823277,0.192,1255258088,28837956,1291661233,1291661233,1,681805,681805,0.053,678122,678122,0.053,CLERK,0.9948180000000001,NA,684580.45,020030,GENERAL ASSISTANCE BLOOM,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020030003,0,2005,532153,1262823277,0.043,1255258088,28837956,1291661233,1291661233,1,548119,548119,0.043,NA,548119,0.043,NA,NA,NA,555414.33,020030,ROAD AND BRIDGE BLOOM,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020040000,0,2005,1079192,1844437788,0.059,1831064454,34105926,1878543714,1878543714,1,984896,984896,0.053,952421,952421,0.051,CLERK,0.967213,NA,958057.29,020040,TOWN BREMEN,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020040002,0,2005,1079192,1844437788,0.059,1831064454,34105926,1878543714,1878543714,1,145911,145911,0.008,140890,140890,0.008,CLERK,0.967213,NA,150283.5,020040,GENERAL ASSISTANCE BREMEN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020040003,0,2005,605862,1844437788,0.033,1831064454,34105926,1878543714,1878543714,1,615376,615376,0.033,NA,615376,0.033,NA,NA,NA,619919.43,020040,ROAD AND BRIDGE BREMEN,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020050000,0,2005,730873,224952300,0.325,224394047,321829,225274129,225274129,1,513996,512642,0.228,491547,491547,0.219,CLERK,0.9587019999999999,NA,493350.34,020050,TOWN CALUMET,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020050002,0,2005,730873,224952300,0.325,224394047,321829,225274129,225274129,1,249725,249725,0.111,239464,239464,0.107,CLERK,0.9587019999999999,NA,241043.32,020050,GENERAL ASSISTANCE CALUMET,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020050003,0,2005,176337,224952300,0.079,224394047,321829,225274129,225274129,1,184263,184263,0.082,177514,177514,0.079,CLERK,0.9634139999999999,NA,177966.56,020050,ROAD AND BRIDGE CALUMET,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020060000,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,28941812,28941812,3.754,NA,28941812,3.754,NA,NA,NA,28946215.08,020060,TOWN CICERO,MUNICIPALITY/TOWNSHIP,TOWNSHIP,020060000,TOWN CICERO,Cicero,South,Cicero,0
2006,020060001,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,1338791,1338791,0.174,NA,1338791,0.174,NA,NA,NA,1341673.26,020060,TOWN OF CICERO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,020060000,TOWN CICERO,Cicero,South,Cicero,0
2006,020060002,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,180981,180981,0.024,NA,180981,0.024,NA,NA,NA,185058.38,020060,GENERAL ASSISTANCE CICERO,MUNICIPALITY/TOWNSHIP,GEN ASST,020060000,TOWN CICERO,Cicero,South,Cicero,0
2006,020060004,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,518916,518916,0.068,NA,518916,0.068,NA,NA,NA,524332.08,020060,CICERO COMMUNITY MENTAL HEALTH FUND,MUNICIPALITY/TOWNSHIP,HEALTH,020060000,TOWN CICERO,Cicero,South,Cicero,0
2006,020060100,1,NA,NA,NA,NA,34699736,0,33289232,33289232,1,0,0,0,NA,0,0,NA,NA,NA,0,020060,TOWN OF CICERO SPECIAL SERVICE AREA 2,MUNICIPALITY/TOWNSHIP,SSA,020060000,TOWN CICERO,Cicero,South,Cicero,0
2006,020070000,0,2005,2291377,NA,0.056,NA,28576163,NA,NA,1,1810740,1810740,0.044,NA,1810740,0.044,NA,NA,NA,1836951.83,020070,TOWN ELK GROVE,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020070002,0,2005,2291377,NA,0.056,NA,28576163,NA,NA,1,372860,372860,0.009,NA,372860,0.009,NA,NA,NA,375740.15,020070,GENERAL ASSISTANCE ELK GROVE,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020070003,0,2005,389101,NA,0.01,NA,28576163,NA,NA,1,371830,371830,0.009,NA,371830,0.009,NA,NA,NA,375740.15,020070,ROAD AND BRIDGE ELK GROVE,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020080000,0,2005,1275452,NA,0.058,NA,18050713,NA,NA,1,369746,369746,0.017,352605,352605,0.016,CLERK,0.9508190000000001,NA,359342.84,020080,TOWN OF EVANSTON,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020080002,0,2005,1275452,NA,0.058,NA,18050713,NA,NA,1,985990,985990,0.044,936537,936537,0.042,CLERK,0.9508190000000001,NA,943274.95,020080,GENERAL ASSISTANCE EVANSTON,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020090000,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,3753888,3753888,0.178,NA,3753888,0.178,NA,NA,NA,3773936.38,020090,TOWN OF HANOVER,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020090002,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,245790,245790,0.012,NA,245790,0.012,NA,NA,NA,254422.68,020090,GENERAL ASSISTANCE HANOVER,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020090003,0,2005,1197990,2022373714,0.06,1997584086,97815261,2120188975,2120188975,1,1646524,1646524,0.078,1267873,1267873,0.06,CLERK,0.76923,NA,1272113.39,020090,ROAD AND BRIDGE HANOVER,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020090004,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,782060,782060,0.037,NA,782060,0.037,NA,NA,NA,784469.92,020090,COMMUNITY MENTAL HEALTH FACILITIES & SERVICE DISTRICT,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA
2006,020100000,0,2005,591496,761832609,0.078,769914664,20991061,782823670,782823670,1,1470410,1470410,0.188,NA,1470410,0.188,NA,NA,890070.51,1471708.5,020100,TOWN LEMONT,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020100002,0,2005,591496,761832609,0.078,769914664,20991061,782823670,782823670,1,9436,9436,0.002,NA,9436,0.002,NA,NA,NA,15656.47,020100,GENERAL ASSISTANCE LEMONT,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020100003,0,2005,708522,761832609,0.093,769914664,20991061,782823670,782823670,1,717001,717001,0.092,NA,717001,0.092,NA,NA,NA,720197.78,020100,ROAD AND BRIDGE LEMONT,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020110000,0,2005,2350250,NA,0.082,NA,25490064,NA,NA,1,2237675,2237675,0.077,NA,2237675,0.077,NA,NA,NA,2249076.76,020110,TOWN LEYDEN,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020110002,0,2005,2350250,NA,0.082,NA,25490064,NA,NA,1,94245,94245,0.004,NA,94245,0.004,NA,NA,NA,116835.16,020110,GENERAL ASSISTANCE LEYDEN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020110003,0,2005,3224062,NA,0.112,NA,25490064,NA,NA,1,3233891,3233891,0.111,NA,3233891,0.111,NA,NA,NA,3242175.59,020110,ROAD AND BRIDGE LEYDEN,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020110007,0,NA,0,NA,0,135369203,708948,137954965,137954965,1,0,0,0,NA,0,0,NA,NA,NA,0,020110,LEYDEN TOWNSHIP SPECIAL REFUSE COLLECTION DISTRICT,MISCELLANEOUS,MISC,NA,NA,NA,NA,NA,NA
2006,020120000,0,2005,4414925,NA,0.116,NA,68594532,NA,NA,1,1276574,1276574,0.033,1265107,1265107,0.033,CLERK,0.991452,NA,1280630.24,020120,TOWN LYONS,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA
2006,020120002,0,2005,4414925,NA,0.116,NA,68594532,NA,NA,1,82358,82358,0.003,81494,81494,0.003,CLERK,0.991452,NA,116420.93,020120,GENERAL ASSISTANCE LYONS,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA
2006,020120003,0,2005,1284342,NA,0.034,NA,68594532,NA,NA,1,1317754,1317754,0.034,NA,1317754,0.034,NA,NA,NA,1319437.22,020120,ROAD AND BRIDGE LYONS,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA
2006,020120004,0,2005,4414925,NA,0.116,NA,68594532,NA,NA,1,3170847,3170847,0.082,3143365,3143365,0.081,CLERK,0.991452,NA,3143365.14,020120,LYONS MENTAL HEALTH,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA
