year,agency_num,agency_name,triad_name,reassess_year
2006,010010000,COUNTY OF COOK,City,1
2006,010010001,CONSOLIDATED ELECTIONS,North,0
2006,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,City,1
2006,020010000,TOWN BARRINGTON,North,0
2006,020010002,GENERAL ASSISTANCE BARRINGTON,North,0
2006,020010003,ROAD AND BRIDGE BARRINGTON,North,0
2006,020020000,TOWN BERWYN,South,0
2006,020020002,GENERAL ASSISTANCE BERWYN,South,0
2006,020020004,BERWYN TOWNSHIP COMMUNITY MENTAL HEALTH DISTRICT,South,0
2006,020020005,PUBLIC HEALTH BERWYN,South,0
2006,020030000,TOWN BLOOM,South,0
2006,020030002,GENERAL ASSISTANCE BLOOM,South,0
2006,020030003,ROAD AND BRIDGE BLOOM,South,0
2006,020040000,TOWN BREMEN,South,0
2006,020040002,GENERAL ASSISTANCE BREMEN,South,0
2006,020040003,ROAD AND BRIDGE BREMEN,South,0
2006,020050000,TOWN CALUMET,South,0
2006,020050002,GENERAL ASSISTANCE CALUMET,South,0
2006,020050003,ROAD AND BRIDGE CALUMET,South,0
2006,020060000,TOWN CICERO,South,0
2006,020060001,TOWN OF CICERO LIBRARY FUND,South,0
2006,020060002,GENERAL ASSISTANCE CICERO,South,0
2006,020060004,CICERO COMMUNITY MENTAL HEALTH FUND,South,0
2006,020060100,TOWN OF CICERO SPECIAL SERVICE AREA 2,South,0
2006,020070000,TOWN ELK GROVE,North,0
2006,020070002,GENERAL ASSISTANCE ELK GROVE,North,0
2006,020070003,ROAD AND BRIDGE ELK GROVE,North,0
2006,020080000,TOWN OF EVANSTON,North,0
2006,020080002,GENERAL ASSISTANCE EVANSTON,North,0
2006,020090000,TOWN OF HANOVER,North,0
2006,020090002,GENERAL ASSISTANCE HANOVER,North,0
2006,020090003,ROAD AND BRIDGE HANOVER,North,0
2006,020090004,COMMUNITY MENTAL HEALTH FACILITIES & SERVICE DISTRICT,North,0
2006,020100000,TOWN LEMONT,South,0
2006,020100002,GENERAL ASSISTANCE LEMONT,South,0
2006,020100003,ROAD AND BRIDGE LEMONT,South,0
2006,020110000,TOWN LEYDEN,North,0
2006,020110002,GENERAL ASSISTANCE LEYDEN,North,0
2006,020110003,ROAD AND BRIDGE LEYDEN,North,0
2006,020110007,LEYDEN TOWNSHIP SPECIAL REFUSE COLLECTION DISTRICT,North,0
2006,020120000,TOWN LYONS,South,0
2006,020120002,GENERAL ASSISTANCE LYONS,South,0
2006,020120003,ROAD AND BRIDGE LYONS,South,0
2006,020120004,LYONS MENTAL HEALTH,South,0
2006,020120006,LYONS TOWNSHIP SPECIAL POLICE DISTRICT,South,0
2006,020130000,TOWN MAINE,North,0
2006,020130002,GENERAL ASSISTANCE MAINE,North,0
2006,020130003,ROAD AND BRIDGE MAINE,North,0
2006,020140000,TOWN NEW TRIER,North,0
2006,020140002,GENERAL ASSISTANCE NEW TRIER,North,0
2006,020140003,ROAD AND BRIDGE NEW TRIER,North,0
2006,020150000,TOWN NILES,North,0
2006,020150002,GENERAL ASSISTANCE NILES,North,0
2006,020150003,ROAD AND BRIDGE NILES,North,0
2006,020160000,TOWN NORTHFIELD,North,0
2006,020160002,GENERAL ASSISTANCE NORTHFIELD,North,0
2006,020160003,ROAD AND BRIDGE NORTHFIELD,North,0
2006,020160006,NORTHFIELD TOWNSHIP SPECIAL POLICE DISTRICT,North,0
2006,020170000,TOWN NORWOOD PARK,North,0
2006,020170002,GENERAL ASSISTANCE NORWOOD PARK,North,0
2006,020170003,ROAD AND BRIDGE NORWOOD PARK,North,0
2006,020170006,NORWOOD PARK TOWNSHIP SPECIAL POLICE DISTRICT,North,0
2006,020180000,TOWN OAK PARK,South,0
2006,020180002,GENERAL ASSISTANCE OAK PARK,South,0
2006,020180004,OAK PARK MENTAL HEALTH DISTRICT,South,0
2006,020190000,TOWN ORLAND,South,0
2006,020190002,GENERAL ASSISTANCE ORLAND,South,0
2006,020190003,ROAD AND BRIDGE ORLAND,South,0
2006,020200000,TOWN PALATINE,North,0
2006,020200002,GENERAL ASSISTANCE PALATINE,North,0
2006,020200003,ROAD AND BRIDGE PALATINE,North,0
2006,020210000,TOWN OF PALOS,South,0
2006,020210002,GENERAL ASSISTANCE PALOS,South,0
2006,020210003,ROAD AND BRIDGE PALOS,South,0
2006,020220000,TOWN PROVISO,South,0
2006,020220002,GENERAL ASSISTANCE PROVISO,South,0
2006,020220003,ROAD AND BRIDGE PROVISO,South,0
2006,020220004,MENTAL HEALTH DISTRICT PROVISO,South,0
2006,020230000,TOWN RICH,South,0
2006,020230002,GENERAL ASSISTANCE RICH,South,0
2006,020230003,ROAD AND BRIDGE RICH,South,0
2006,020240000,TOWN RIVER FOREST,South,0
2006,020240002,GENERAL ASSISTANCE RIVER FOREST,South,0
2006,020250000,TOWN RIVERSIDE,South,0
2006,020250002,GENERAL ASSISTANCE RIVERSIDE,South,0
2006,020250003,ROAD AND BRIDGE RIVERSIDE,South,0
2006,020250004,RIVERSIDE MENTAL HEALTH DISTRICT,South,0
2006,020260000,TOWN SCHAUMBURG,North,0
2006,020260002,GENERAL ASSISTANCE SCHAUMBURG,North,0
2006,020260003,ROAD AND BRIDGE SCHAUMBURG,North,0
2006,020260006,SCHAUMBURG TOWNSHIP SPECIAL POLICE DISTRICT,North,0
2006,020270000,TOWN STICKNEY,South,0
2006,020270002,GENERAL ASSISTANCE STICKNEY,South,0
2006,020270003,ROAD AND BRIDGE STICKNEY,South,0
2006,020270004,STICKNEY PUBLIC HEALTH DISTRICT,South,0
2006,020270100,STICKNEY TOWNSHIP SPECIAL SERVICE AREA 1,South,0
2006,020270101,STICKNEY TOWNSHIP SPECIAL SERVICE AREA 2,South,0
2006,020280000,TOWN THORNTON,South,0
2006,020280002,GENERAL ASSISTANCE THORNTON,South,0
2006,020280003,ROAD AND BRIDGE THORNTON,South,0
2006,020290000,TOWN WHEELING,North,0
2006,020290002,GENERAL ASSISTANCE WHEELING,North,0
2006,020290003,ROAD AND BRIDGE WHEELING,North,0
2006,020300000,TOWN OF WORTH,South,0
2006,020300002,GENERAL ASSISTANCE WORTH,South,0
2006,020300003,ROAD AND BRIDGE WORTH,South,0
2006,020300100,WORTH TOWNSHIP SPECIAL SERVICE AREA 1,South,0
2006,030010000,VILLAGE OF ALSIP,South,0
2006,030010104,VILLAGE OF ALSIP SPECIAL SERVICE AREA 6,South,0
2006,030010105,VILLAGE OF ALSIP SPECIAL SERVICE AREA 7,South,0
2006,030010106,VILLAGE OF ALSIP SPECIAL SERVICE AREA 8,South,0
2006,030010107,VILLAGE OF ALSIP SPECIAL SERVICE AREA 9,South,0
2006,030010108,VILLAGE OF ALSIP SPECIAL SERVICE AREA 10,South,0
2006,030010109,VILLAGE OF ALSIP SPECIAL SERVICE AREA 11,South,0
2006,030010110,VILLAGE OF ALSIP SPECIAL SERVICE AREA 12,South,0
2006,030010111,VILLAGE OF ALSIP SPECIAL SERVICE AREA 13,South,0
2006,030010112,VILLAGE OF ALSIP SPECIAL SERVICE AREA 14,South,0
2006,030020000,VILLAGE OF ARLINGTON HEIGHTS,North,0
2006,030020001,VILLAGE OF ARLINGTON HEIGHTS LIBRARY FUND,North,0
2006,030030000,VILLAGE OF BARRINGTON,North,0
2006,030030100,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA,North,0
2006,030030101,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA 2,North,0
2006,030030102,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA 4,North,0
2006,030030103,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA 6,North,0
2006,030030110,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA 16,North,0
2006,030040000,VILLAGE OF BARRINGTON HILLS,North,0
2006,030050000,VILLAGE OF BARTLETT,North,0
2006,030050101,VILLAGE OF BARTLETT SPECIAL SERVICE AREA / INVERNESS 1,North,0
2006,030050102,VILLAGE OF BARTLETT SPECIAL SERVICE AREA CENTEX ONE,North,0
2006,030050104,VILLAGE OF BARTLETT SPECIAL SERVICE AREA / AMBER GROVE UT 6 & 7,North,0
2006,030050106,VILLAGE OF BARTLETT SPECIAL SERVICE AREA 1 / BLUFF CITY,North,0
2006,030060000,VILLAGE OF BEDFORD PARK,South,0
2006,030070000,VILLAGE OF BELLWOOD,South,0
2006,030070001,VILLAGE OF BELLWOOD LIBRARY FUND,South,0
2006,030080000,VILLAGE OF BENSENVILLE,North,0
2006,030090000,VILLAGE OF BERKELEY,South,0
2006,030090001,VILLAGE OF BERKELEY LIBRARY FUND,South,0
2006,030100000,CITY OF BERWYN,South,0
2006,030100001,CITY OF BERWYN LIBRARY FUND,South,0
2006,030100100,CITY OF BERWYN SPECIAL SERVICE AREA A (CERMAK RD),South,0
2006,030110000,CITY OF BLUE ISLAND,South,0
2006,030110001,CITY OF BLUE ISLAND LIBRARY FUND,South,0
2006,030120000,VILLAGE OF BRIDGEVIEW,South,0
2006,030120001,VILLAGE OF BRIDGEVIEW LIBRARY FUND,South,0
2006,030120100,VILLAGE OF BRIDGEVIEW SPECIAL SERVICE AREA 1,South,0
2006,030120101,VILLAGE OF BRIDGEVIEW SPECIAL SERVICE AREA 2,South,0
2006,030120102,VILLAGE OF BRIDGEVIEW SPECIAL SERVICE AREA 3,South,0
2006,030120103,VILLAGE OF BRIDGEVIEW SPECIAL SERVICE AREA 4,South,0
2006,030130000,VILLAGE OF BROADVIEW,South,0
2006,030140000,VILLAGE OF BROOKFIELD,South,0
2006,030140001,VILLAGE OF BROOKFIELD LIBRARY FUND,South,0
2006,030140100,VILLAGE OF BROOKFIELD SPECIAL SERVICE AREA 1,South,0
2006,030140101,VILLAGE OF BROOKFIELD SPECIAL SERVICE AREA 2,South,0
