year,uniqueid,grouped_label,home_rule_ind,lim_rate,agency_name,agency_num,total_final_levy,cty_total_eav,av,Triad,agency_count,reassess_year,log_eav,log_levy,log_av,bundled,panel_id,first2_dig,town,count
2006,Alsip_1_0,Alsip,1,NA,VILLAGE OF ALSIP,030010000,5740625,680364001,251279362.16575566,South,1,0,20.338138508503086,15.563078647385627,19.34207587485077,0,NA,03,Muni,17
2006,Arlington Heights_1_1,Arlington Heights,1,NA,VILLAGE OF ARLINGTON HEIGHTS,030020000,36783533,2879822401.847575,1063607032.7402775,North,2,0,21.78099446316769,17.420560830167233,20.784931829515376,1,NA,03,Muni,17
2006,Bedford Park_1_0,Bedford Park,1,NA,VILLAGE OF BEDFORD PARK,030060000,9565737,453469610,167480281.43004876,South,1,0,19.93243881314616,16.073698209639332,18.93637617949384,0,NA,03,Muni,17
2006,Bellwood_1_1,Bellwood,1,NA,VILLAGE OF BELLWOOD,030070000,14163703,298629447,110293044.39355887,South,2,0,19.514714055085808,16.466193123341164,18.518651421433493,1,NA,03,Muni,17
2006,Berkeley_1_1,Berkeley,1,NA,VILLAGE OF BERKELEY,030090000,3372993,116021261,42850221.96779436,South,2,0,18.56928401675885,15.03131103873775,17.57322138310653,1,NA,03,Muni,17
2006,Berwyn_1_1,Berwyn,1,NA,CITY OF BERWYN,030100000,17756832,801413358,295986614.71413803,South,2,0,20.501887424357825,16.692280901238604,19.50582479070551,1,NA,03,Muni,17
2006,Bridgeview_1_1,Bridgeview,1,NA,VILLAGE OF BRIDGEVIEW,030120000,4823956,508058679,187641704.46151575,South,2,0,20.046107508714528,15.389104896286202,19.050044875062213,1,NA,03,Muni,17
2006,Burbank_1_0,Burbank,1,NA,CITY OF BURBANK,030160000,4436821,516206027,190650770.7933225,South,1,0,20.062016520887717,15.305448686973453,19.065953887235402,0,NA,03,Muni,17
2006,Burnham_1_0,Burnham,1,NA,VILLAGE OF BURNHAM,030170000,1463269,57822621,21355673.289998524,South,1,0,17.87289062386061,14.196183531863289,16.876827990208294,0,NA,03,Muni,17
2006,Calumet City_1_1,Calumet City,1,NA,CITY OF CALUMET CITY,030190000,18138664,583287124,215425884.1778697,South,2,0,20.18419011707597,16.71355635054541,19.188127483423656,1,NA,03,Muni,17
2006,Calumet Park_1_1,Calumet Park,1,NA,VILLAGE OF CALUMET PARK,030200000,2975551,80847357,29859416.826710004,South,2,0,18.20807345328608,14.90593978989663,17.212010819633765,1,NA,03,Muni,17
2006,Chicago Heights_1_1,Chicago Heights,1,NA,CITY OF CHICAGO HEIGHTS,030220000,14226373,427046450,157721395.33165905,South,2,0,19.87240334747795,16.47060805352979,18.876340713825634,1,NA,03,Muni,17
2006,Chicago Ridge_1_1,Chicago Ridge,1,NA,VILLAGE OF CHICAGO RIDGE,030230000,5063749,357886301,132178424.06559315,South,2,0,19.695725898948943,15.437617676016915,18.69966326529663,1,NA,03,Muni,17
2006,Cicero_1_1,Cicero,1,NA,TOWN CICERO,020060000,30980501,771076587,284782311.641306,South,4,0,20.463298261224597,17.24886856454593,19.46723562757228,1,NA,02,Town,17
2006,Country Club Hills_1_0,Country Club Hills,1,NA,CITY OF COUNTRY CLUB HILLS,030240000,9370802,250607445,92557041.29118039,South,1,0,19.339398308684068,16.053109242867695,18.343335675031753,0,NA,03,Muni,17
