first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
20010,GENERAL ASSISTANCE BARRINGTON,0,20010_0,Barrington - Town_0,Barrington - Town,20010002
20010,ROAD AND BRIDGE BARRINGTON,0,20010_0,Barrington - Town_0,Barrington - Town,20010003
20010,TOWN BARRINGTON,0,20010_0,Barrington - Town_0,Barrington - Town,20010000
20020,BERWYN TOWNSHIP COMMUNITY MENTAL HEALTH DISTRICT,0,20020_0,Berwyn-Town_0,Berwyn-Town,20020004
20020,GENERAL ASSISTANCE BERWYN,0,20020_0,Berwyn-Town_0,Berwyn-Town,20020002
20020,PUBLIC HEALTH BERWYN,0,20020_0,Berwyn-Town_0,Berwyn-Town,20020005
20020,TOWN BERWYN,0,20020_0,Berwyn-Town_0,Berwyn-Town,20020000
20030,GENERAL ASSISTANCE BLOOM,0,20030_0,Bloom-Town_0,Bloom-Town,20030002
20030,ROAD AND BRIDGE BLOOM,0,20030_0,Bloom-Town,Bloom-Town,20030003
20030,TOWN BLOOM,0,20030_0,Bloom-Town_0,Bloom-Town,20030000
20040,GENERAL ASSISTANCE BREMEN,0,20040_0,Bremen-Town_Connected_0,Bremen-Town,20040002
20040,ROAD AND BRIDGE BREMEN,0,20040_0,Bremen-Town_0,Bremen-Town,20040003
20040,TOWN BREMEN,0,20040_0,Bremen-Town_Connected_0,Bremen-Town,20040000
20050,GENERAL ASSISTANCE CALUMET,0,20050_0,Calumet - Town_0,Calumet - Town,20050002
20050,ROAD AND BRIDGE CALUMET,0,20050_0,Calumet - Town_0,Calumet - Town,20050003
20050,TOWN CALUMET,0,20050_0,Calumet - Town_0,Calumet - Town,20050000
20060,CICERO COMMUNITY MENTAL HEALTH FUND,1,20060_1,Cicero_1,Cicero,20060004
20060,GENERAL ASSISTANCE CICERO,1,20060_1,Cicero_1,Cicero,20060002
20060,TOWN CICERO,1,20060_1,Cicero_1,Cicero,20060000
20060,TOWN OF CICERO LIBRARY FUND,1,20060_1,Cicero_1,Cicero,20060001
20070,GENERAL ASSISTANCE ELK GROVE,0,20070_0,Elk Grove-Town_0,Elk Grove - Town,20070002
20070,ROAD AND BRIDGE ELK GROVE,0,20070_0,Elk Grove-Town_0,Elk Grove - Town,20070003
20070,TOWN ELK GROVE,0,20070_0,Elk Grove-Town_0,Elk Grove - Town,20070000
20080,GENERAL ASSISTANCE EVANSTON,0,20080_0,Evanston - Town_0,Evanston,20080002
20080,TOWN OF EVANSTON,0,20080_0,Evanston - Town_0,Evanston,20080000
20090,COMMUNITY MENTAL HEALTH FACILITIES & SERVICE DISTRICT,0,20090_0,Hanover-Town_0,Hanover - Town,20090004
20090,GENERAL ASSISTANCE HANOVER,0,20090_0,Hanover-Town_0,Hanover - Town,20090002
20090,ROAD AND BRIDGE HANOVER,0,20090_0,Hanover-Town_0,Hanover - Town,20090003
20090,TOWN OF HANOVER,0,20090_0,Hanover-Town_0,Hanover - Town,20090000
20100,GENERAL ASSISTANCE LEMONT,0,20100_0,Lemont-Town_0,Lemont-Town,20100002
20100,ROAD AND BRIDGE LEMONT,0,20100_0,Lemont-Town_0,Lemont-Town,20100003
20100,TOWN LEMONT,0,20100_0,Lemont-Town_0,Lemont-Town,20100000
20110,GENERAL ASSISTANCE LEYDEN,0,20110_0,Leyden-Town-Connected_0,Leyden-Town,20110002
20110,LEYDEN TOWNSHIP SPECIAL REFUSE COLLECTION DISTRICT,0,20110_0,Leyden-Town-Connected_0,Leyden-Town,20110007
20110,ROAD AND BRIDGE LEYDEN,0,20110_0,Leyden_0,Leyden-Town,20110003
20110,TOWN LEYDEN,0,20110_0,Leyden-Town-Connected_0,Leyden-Town,20110000
20110,TOWN LEYDEN - WESTDALE PARK DISTRICT,0,20110_0,Leyden_0,Leyden-Town,20110008
20120,GENERAL ASSISTANCE LYONS,0,20120_0,Lyons-Town-Connected_0,Lyons-Town,20120002
20120,LYONS MENTAL HEALTH,0,20120_0,Lyons-Town-Connected_0,Lyons-Town,20120004
20120,LYONS TOWNSHIP SPECIAL POLICE DISTRICT,0,20120_0,Lyons-Town_0,Lyons-Town,20120006
20120,ROAD AND BRIDGE LYONS,0,20120_0,Lyons-Town_0,Lyons-Town,20120003
20120,TOWN LYONS,0,20120_0,Lyons-Town-Connected_0,Lyons-Town,20120000
20130,GENERAL ASSISTANCE MAINE,0,20130_0,Maine-Town_0,Maine-Town,20130002
20130,ROAD AND BRIDGE MAINE,0,20130_0,Maine-Town_0,Maine-Town,20130003
20130,TOWN MAINE,0,20130_0,Maine-Town_0,Maine-Town,20130000
20140,GENERAL ASSISTANCE NEW TRIER,0,20140_0,New Trier_0,New Trier,20140002
20140,ROAD AND BRIDGE NEW TRIER,0,20140_0,New Trier_0,New Trier,20140003
20140,TOWN NEW TRIER,0,20140_0,New Trier_0,New Trier,20140000
20150,GENERAL ASSISTANCE NILES,0,20150_0,Niles-Town_0,Niles-Town,20150002
20150,ROAD AND BRIDGE NILES,0,20150_0,Niles-Town_0,Niles-Town,20150003
20150,TOWN NILES,0,20150_0,Niles-Town_0,Niles-Town,20150000
20160,GENERAL ASSISTANCE NORTHFIELD,0,20160_0,Northfield-Town-Connected_0,Northfield - Town,20160002
20160,NORTHFIELD TOWNSHIP SPECIAL POLICE DISTRICT,0,20160_0,Northfield_0,Northfield - Town,20160006
20160,ROAD AND BRIDGE NORTHFIELD,0,20160_0,Northfield_0,Northfield - Town,20160003
20160,TOWN NORTHFIELD,0,20160_0,Northfield-Town-_0,Northfield - Town,20160000
20170,GENERAL ASSISTANCE NORWOOD PARK,0,20170_0,Norwood Park-Town-Connected_0,Norwood Park - Town,20170002
20170,NORWOOD PARK TOWNSHIP SPECIAL POLICE DISTRICT,0,20170_0,Norwood Park-Town-Connected_0,Norwood Park - Town,20170006
20170,ROAD AND BRIDGE NORWOOD PARK,0,20170_0,Norwood Park_0,Norwood Park - Town,20170003
20170,TOWN NORWOOD PARK,0,20170_0,Norwood Park-Town-Connected_0,Norwood Park - Town,20170000
20180,GENERAL ASSISTANCE OAK PARK,0,20180_0,Oak Park - Town_0,Oak Park - Town,20180002
20180,OAK PARK MENTAL HEALTH DISTRICT,0,20180_0,Oak Park - Town_0,Oak Park - Town,20180004
20180,TOWN OAK PARK,0,20180_0,Oak Park - Town_0,Oak Park - Town,20180000
20190,GENERAL ASSISTANCE ORLAND,0,20190_0,Orland_0,Orland,20190002
20190,ROAD AND BRIDGE ORLAND,0,20190_0,Orland_0,Orland,20190003
20190,TOWN ORLAND,0,20190_0,Orland_0,Orland,20190000
20200,GENERAL ASSISTANCE PALATINE,0,20200_0,Palatine-Town_0,Palatine-Town,20200002
20200,ROAD AND BRIDGE PALATINE,0,20200_0,Palatine-Town_0,Palatine-Town,20200003
20200,TOWN PALATINE,0,20200_0,Palatine-Town_0,Palatine-Town,20200000
20210,GENERAL ASSISTANCE PALOS,0,20210_0,Palos_0,Palos-Town,20210002
20210,ROAD AND BRIDGE PALOS,0,20210_0,Palos_0,Palos-Town,20210003
20210,TOWN OF PALOS,0,20210_0,Palos_0,Palos-Town,20210000
20220,GENERAL ASSISTANCE PROVISO,0,20220_0,Proviso-Town-Connected_0,Proviso-Town,20220002
20220,MENTAL HEALTH DISTRICT PROVISO,0,20220_0,Proviso-Town-Connected_0,Proviso-Town,20220004
20220,ROAD AND BRIDGE PROVISO,0,20220_0,Proviso_0,Proviso-Town,20220003
20220,TOWN PROVISO,0,20220_0,Proviso-Town-Connected_0,Proviso-Town,20220000
20230,GENERAL ASSISTANCE RICH,0,20230_0,Rich-Town-Connected_0,Rich-Town,20230002
20230,ROAD AND BRIDGE RICH,0,20230_0,Rich-Town_0,Rich-Town,20230003
20230,TOWN RICH,0,20230_0,Rich-Town-Connected_0,Rich-Town,20230000
