year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year,pct_inCook,year.y,cpi,ptell_cook,eq_factor_final,pct_in_Cook,av,first6_w_hr,agency_w_hr,total_final_levy_4log,log_eav,log_levy,log_av
2006,010010000,1,NA,NA,NA,NA,NA,1975574435,144096708400,144096708400,1,720483542,720483542,0.5,NA,720483542,0.5,NA,NA,NA,721723916,010010,COUNTY OF COOK,COOK COUNTY,COOK,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,53219348648.249374,010010_1,010010000_1,720483543,25.69375049722049,20.395433132060408,24.697687863568174
2006,010020000,0,2005,67094198,NA,0.048,NA,1975574435,143508166666.6667,143508166666.6667,1,81799655,81799655,0.057,0,81799655,0.057,NA,NA,13793587.48,82276526.42,010020,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,53001982075.146515,010020_0,010020000_0,81799656,25.689657781095846,18.21978359618516,24.69359514744353
2006,020010000,0,2005,336998,1252394203,0.027,1253529228,59060250,1311454453,1311454453,1,324450,324450,0.025,NA,324450,0.025,NA,NA,NA,327863.61,020010,TOWN BARRINGTON,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,484360486.4086276,020010_0,020010000_0,324451,20.994402627731805,12.689889802183568,19.99833999407949
2006,020010002,0,2005,25922,1252394203,0.003,1253529228,59060250,1311454453,1311454453,1,18540,18540,0.002,NA,18540,0.002,NA,NA,NA,26229.09,020010,GENERAL ASSISTANCE BARRINGTON,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,484360486.4086276,020010_0,020010002_0,18541,20.994402627731805,9.827739775097854,19.99833999407949
2006,020010003,0,NA,0,NA,0,1253529228,59060250,1311454453,1311454453,1,0,0,0,NA,0,0,NA,NA,NA,0,020010,ROAD AND BRIDGE BARRINGTON,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,484360486.4086276,020010_0,020010003_0,1,20.994402627731805,0,19.99833999407949
2006,020020000,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,251613,251613,0.032,245231,245231,0.031,CLERK,0.970588,NA,248438.14,020020,TOWN BERWYN,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,295986614.71413803,020020_0,020020000_0,245232,20.501887424357825,12.409959980238689,19.50582479070551
2006,020020002,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,199555,199555,0.025,193942,193942,0.025,CLERK,0.970588,NA,200353.34,020020,GENERAL ASSISTANCE BERWYN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,295986614.71413803,020020_0,020020002_0,193943,20.501887424357825,12.175319580440558,19.50582479070551
2006,020020004,0,2003,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,413133,413133,0.052,401508,401508,0.051,CLERK,0.970588,NA,408720.81,020020,BERWYN TOWNSHIP COMMUNITY MENTAL HEALTH DISTRICT,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,295986614.71413803,020020_0,020020004_0,401509,20.501887424357825,12.902985228057943,19.50582479070551
2006,020020005,0,2005,1315878,800035872,0.165,802248035,1377486,801413358,801413358,1,494549,494549,0.062,480846,480846,0.06,CLERK,0.970588,NA,480848.01,020020,PUBLIC HEALTH BERWYN,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,295986614.71413803,020020_0,020020005_0,480847,20.501887424357825,13.08330441116931,19.50582479070551
2006,020030000,0,2005,2414161,1262823277,0.192,1255258088,28837956,1291661233,1291661233,1,1804780,1804780,0.14,1795409,1795409,0.139,CLERK,0.994818,NA,1795409.11,020030,TOWN BLOOM,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,477050241.17299455,020030_0,020030000_0,1795410,20.979195004365085,14.400743966078675,19.98313237071277
